01/06/2018 5:20:00: 6404,5
01/06/2018 5:25:00: 6410
01/06/2018 5:30:00: 6406,4
01/06/2018 5:35:00: 6411
01/06/2018 5:40:00: 6411,4
01/06/2018 5:45:00: 6411
01/06/2018 5:50:00: 6411
01/06/2018 5:55:00: 6406,4
01/06/2018 6:00:00: 6394,9
01/06/2018 6:05:00: 6403,8
01/06/2018 6:10:00: 6402,5
01/06/2018 6:15:00: 6412,3
01/06/2018 6:20:00: 6409,7
01/06/2018 6:25:00: 6404,9
01/06/2018 6:30:00: 6409
01/06/2018 6:35:00: 6404,3
01/06/2018 6:40:00: 6400,9
01/06/2018 6:45:00: 6410,8
01/06/2018 6:50:00: 6408,6
01/06/2018 6:55:00: 6407,1
01/06/2018 7:00:00: 6418
01/06/2018 7:05:00: 6417,4
01/06/2018 7:10:00: 6416,9
01/06/2018 7:15:00: 6420,8
01/06/2018 7:20:00: 6417,1
01/06/2018 7:25:00: 6415,5
01/06/2018 7:30:00: 6415,5
01/06/2018 7:35:00: 6414
01/06/2018 7:40:00: 6414
01/06/2018 7:45:00: 6404,9
01/06/2018 7:50:00: 6406,2
01/06/2018 7:55:00: 6411,4
01/06/2018 8:00:00: 6411,1
01/06/2018 8:05:00: 6410,1
01/06/2018 8:10:00: 6411,7
01/06/2018 8:15:00: 6457,5
01/06/2018 8:20:00: 6455,5
01/06/2018 8:25:00: 6440
01/06/2018 8:30:00: 6447
01/06/2018 8:35:00: 6447,1
01/06/2018 8:40:00: 6452,5
01/06/2018 8:45:00: 6450,5
01/06/2018 8:50:00: 6458,4
01/06/2018 8:55:00: 6456,4
01/06/2018 9:00:00: 6455,1
01/06/2018 9:05:00: 6465
01/06/2018 9:10:00: 6477,2
01/06/2018 9:15:00: 6477,7
01/06/2018 9:20:00: 6476,5
01/06/2018 9:25:00: 6487,5
01/06/2018 9:30:00: 6475,5
01/06/2018 9:35:00: 6484,5
01/06/2018 9:40:00: 6489,3
01/06/2018 9:45:00: 6484,4
01/06/2018 9:50:00: 6482,2
01/06/2018 9:55:00: 6478
01/06/2018 10:00:00: 6466,9
01/06/2018 10:05:00: 6469,9
01/06/2018 10:10:00: 6470,1
01/06/2018 10:15:00: 6478,6
01/06/2018 10:20:00: 6482,4
01/06/2018 10:25:00: 6482,9
01/06/2018 10:30:00: 6479,4
01/06/2018 10:35:00: 6480,5
01/06/2018 10:40:00: 6480
01/06/2018 10:45:00: 6480
01/06/2018 10:50:00: 6478,9
01/06/2018 10:55:00: 6492,2
01/06/2018 11:00:00: 6495,1
01/06/2018 11:05:00: 6489,5
01/06/2018 11:10:00: 6488,1
01/06/2018 11:15:00: 6486,4
01/06/2018 11:20:00: 6487
01/06/2018 11:25:00: 6455,7
